image,width_px,height_px,latency_ms,detections,classes_found
P0088.png,1410,1708,56.83,92,"{'small-vehicle': 82, 'large-vehicle': 10}"
P0089.png,4080,3821,245.84,21,"{'baseball-diamond': 11, 'small-vehicle': 8, 'bridge': 1, 'storage-tank': 1}"
P0090.png,1410,1709,65.26,2,{'baseball-diamond': 2}
P0092.png,3491,1877,164.01,54,"{'tennis-court': 6, 'baseball-diamond': 4, 'basketball-court': 6, 'swimming-pool': 3, 'small-vehicle': 32, 'storage-tank': 2, 'large-vehicle': 1}"
P0097.png,1180,1232,70.13,3,"{'roundabout': 1, 'small-vehicle': 2}"
P0101.png,720,636,49.26,5,"{'roundabout': 1, 'small-vehicle': 4}"
P0102.png,925,1187,55.45,16,"{'roundabout': 1, 'soccer-ball-field': 1, 'basketball-court': 1, 'small-vehicle': 12, 'swimming-pool': 1}"
P0105.png,694,890,46.55,20,"{'roundabout': 1, 'small-vehicle': 19}"
P0106.png,1179,1232,69.82,20,"{'roundabout': 1, 'small-vehicle': 15, 'soccer-ball-field': 1, 'swimming-pool': 3}"
P0107.png,694,890,47.43,15,"{'basketball-court': 1, 'roundabout': 1, 'small-vehicle': 13}"
P0108.png,694,890,45.68,28,"{'roundabout': 1, 'small-vehicle': 27}"
P0112.png,6989,4516,556.22,1,{'swimming-pool': 1}
P0114.png,801,1276,76.17,77,"{'tennis-court': 3, 'small-vehicle': 74}"
P0115.png,1042,1357,83.48,74,"{'ground-track-field': 1, 'small-vehicle': 71, 'large-vehicle': 2}"
P0118.png,842,1034,79.2,23,"{'small-vehicle': 19, 'ship': 4}"
P0120.png,1100,1102,97.02,109,"{'small-vehicle': 108, 'large-vehicle': 1}"
P0121.png,1556,1490,93.24,7,"{'tennis-court': 6, 'small-vehicle': 1}"
P0125.png,1746,1820,100.04,144,"{'tennis-court': 9, 'soccer-ball-field': 4, 'small-vehicle': 127, 'ground-track-field': 1, 'large-vehicle': 3}"
P0127.png,637,693,76.51,0,{}
P0132.png,3516,2193,184.33,140,"{'tennis-court': 7, 'basketball-court': 8, 'swimming-pool': 10, 'ground-track-field': 2, 'baseball-diamond': 1, 'small-vehicle': 111, 'soccer-ball-field': 1}"
P0134.png,2773,1585,136.14,300,"{'swimming-pool': 61, 'small-vehicle': 237, 'large-vehicle': 2}"
P0135.png,2117,2409,148.21,127,"{'tennis-court': 5, 'small-vehicle': 122}"
P0137.png,5276,4308,383.93,27,"{'plane': 24, 'airport': 3}"
P0138.png,2292,2051,234.77,300,"{'ship': 125, 'small-vehicle': 175}"
P0145.png,1185,1193,194.44,67,"{'basketball-court': 1, 'tennis-court': 2, 'baseball-diamond': 2, 'small-vehicle': 61, 'swimming-pool': 1}"
P0148.png,1675,1515,61.67,300,"{'ground-track-field': 1, 'soccer-ball-field': 2, 'tennis-court': 12, 'baseball-diamond': 5, 'small-vehicle': 280}"
P0153.png,721,607,29.97,2,{'baseball-diamond': 2}
P0154.png,1212,923,53.84,300,"{'tennis-court': 6, 'swimming-pool': 1, 'small-vehicle': 293}"
P0155.png,1442,1215,48.61,86,"{'basketball-court': 7, 'baseball-diamond': 2, 'tennis-court': 2, 'small-vehicle': 68, 'swimming-pool': 2, 'large-vehicle': 5}"
P0156.png,696,864,79.39,84,"{'small-vehicle': 82, 'baseball-diamond': 1, 'swimming-pool': 1}"
P0157.png,1124,1214,46.87,3,"{'bridge': 2, 'roundabout': 1}"
P0165.png,3826,3473,257.7,54,"{'plane': 50, 'roundabout': 4}"
P0166.png,5001,3855,358.34,18,"{'plane': 12, 'airport': 3, 'roundabout': 3}"
P0177.png,2218,5435,288.76,86,"{'ship': 36, 'swimming-pool': 4, 'small-vehicle': 46}"
P0180.png,694,1049,46.98,9,{'plane': 9}
P0181.png,6602,1308,236.57,129,"{'plane': 44, 'small-vehicle': 85}"
P0182.png,7838,2133,301.88,125,"{'plane': 43, 'small-vehicle': 82}"
P0184.png,669,1118,113.2,97,"{'large-vehicle': 19, 'small-vehicle': 78}"
P0185.png,2698,3493,166.0,203,"{'plane': 30, 'small-vehicle': 170, 'helicopter': 2, 'large-vehicle': 1}"
P0191.png,1228,803,43.58,19,"{'plane': 10, 'small-vehicle': 9}"
P0192.png,1954,1277,69.03,180,"{'large-vehicle': 98, 'small-vehicle': 82}"
P0193.png,1250,535,95.48,9,{'tennis-court': 9}
P0195.png,1649,2108,77.58,124,"{'plane': 24, 'small-vehicle': 92, 'large-vehicle': 7, 'swimming-pool': 1}"
P0196.png,2047,1023,116.58,25,"{'tennis-court': 6, 'basketball-court': 4, 'baseball-diamond': 2, 'small-vehicle': 13}"
P0197.png,1426,1589,61.78,171,"{'basketball-court': 3, 'tennis-court': 8, 'swimming-pool': 3, 'small-vehicle': 148, 'large-vehicle': 9}"
P0205.png,3375,2941,224.21,182,"{'plane': 63, 'small-vehicle': 117, 'large-vehicle': 2}"
P0208.png,1813,2633,105.41,148,"{'plane': 53, 'small-vehicle': 93, 'large-vehicle': 2}"
P0211.png,922,1062,54.32,46,"{'tennis-court': 8, 'small-vehicle': 37, 'large-vehicle': 1}"
P0214.png,1559,2132,85.24,197,"{'plane': 23, 'small-vehicle': 172, 'large-vehicle': 2}"
P0216.png,801,1605,98.6,69,"{'tennis-court': 24, 'small-vehicle': 45}"
P0230.png,2203,931,52.75,28,"{'tennis-court': 17, 'basketball-court': 1, 'baseball-diamond': 2, 'small-vehicle': 8}"
P0231.png,1277,1700,78.53,49,"{'tennis-court': 11, 'small-vehicle': 36, 'large-vehicle': 2}"
P0234.png,1275,1700,75.77,24,"{'tennis-court': 20, 'small-vehicle': 4}"
P0239.png,978,1641,58.16,48,"{'plane': 35, 'small-vehicle': 10, 'large-vehicle': 3}"
P0240.png,702,2101,124.02,74,"{'plane': 34, 'large-vehicle': 2, 'small-vehicle': 38}"
P0243.png,835,1137,56.86,66,"{'plane': 38, 'small-vehicle': 26, 'large-vehicle': 2}"
P0245.png,668,1155,96.66,87,"{'large-vehicle': 38, 'small-vehicle': 49}"
P0247.png,1500,1747,111.04,154,"{'plane': 21, 'small-vehicle': 90, 'large-vehicle': 43}"
P0253.png,859,1327,57.52,133,"{'tennis-court': 29, 'swimming-pool': 2, 'small-vehicle': 102}"
P0265.png,1169,1196,76.55,199,"{'large-vehicle': 39, 'small-vehicle': 160}"
P0266.png,915,1159,58.78,177,"{'large-vehicle': 41, 'small-vehicle': 136}"
P0267.png,941,905,60.3,77,"{'large-vehicle': 60, 'small-vehicle': 17}"
P0268.png,1143,1449,68.61,164,"{'small-vehicle': 125, 'large-vehicle': 39}"
P0269.png,1428,1229,68.75,81,"{'large-vehicle': 54, 'small-vehicle': 27}"
P0271.png,1420,1318,111.68,91,"{'small-vehicle': 47, 'large-vehicle': 44}"
P0274.png,914,1160,50.3,69,"{'large-vehicle': 11, 'small-vehicle': 58}"
P0277.png,1164,1196,62.45,61,"{'large-vehicle': 17, 'small-vehicle': 44}"
P0278.png,910,1159,47.45,78,"{'large-vehicle': 52, 'small-vehicle': 26}"
P0279.png,750,333,81.15,10,"{'large-vehicle': 8, 'small-vehicle': 2}"
P0284.png,1164,1196,63.23,49,"{'large-vehicle': 35, 'small-vehicle': 14}"
P0287.png,1423,1226,59.9,86,"{'large-vehicle': 42, 'small-vehicle': 43, 'ship': 1}"
P0290.png,1198,934,49.91,127,"{'large-vehicle': 44, 'small-vehicle': 83}"
P0291.png,1166,1195,61.07,128,"{'large-vehicle': 122, 'small-vehicle': 6}"
P0295.png,1624,1118,52.89,300,"{'ship': 9, 'small-vehicle': 288, 'harbor': 2, 'large-vehicle': 1}"
P0297.png,1153,837,86.93,300,"{'small-vehicle': 292, 'ship': 5, 'harbor': 3}"
P0298.png,894,829,58.38,132,"{'ship': 11, 'small-vehicle': 113, 'harbor': 8}"
P0302.png,1153,837,55.04,16,"{'ship': 9, 'small-vehicle': 5, 'harbor': 2}"
P0304.png,2827,1678,112.89,26,"{'harbor': 9, 'ship': 5, 'small-vehicle': 12}"
P0306.png,910,1215,60.56,29,"{'large-vehicle': 21, 'small-vehicle': 8}"
P0307.png,1246,1878,107.08,39,"{'swimming-pool': 8, 'harbor': 16, 'small-vehicle': 13, 'ship': 1, 'roundabout': 1}"
P0311.png,1622,1435,99.84,12,"{'ship': 1, 'harbor': 7, 'small-vehicle': 3, 'swimming-pool': 1}"
P0312.png,3407,2780,233.1,17,"{'ship': 10, 'small-vehicle': 7}"
P0316.png,1104,1101,69.63,12,"{'small-vehicle': 5, 'harbor': 5, 'ship': 2}"
P0318.png,436,594,45.59,45,"{'large-vehicle': 15, 'small-vehicle': 30}"
P0319.png,1104,1101,77.18,6,"{'ship': 2, 'harbor': 4}"
P0320.png,2580,2032,182.44,11,"{'harbor': 7, 'ship': 2, 'small-vehicle': 2}"
P0323.png,1062,1893,110.2,18,"{'ship': 8, 'harbor': 8, 'swimming-pool': 1, 'small-vehicle': 1}"
P0325.png,3144,1397,95.66,49,"{'small-vehicle': 45, 'ship': 4}"
P0326.png,2047,3471,132.66,39,"{'ship': 4, 'small-vehicle': 28, 'harbor': 7}"
P0328.png,3304,1965,148.39,103,"{'ship': 89, 'small-vehicle': 6, 'harbor': 8}"
P0333.png,1502,1906,95.76,29,"{'ship': 8, 'small-vehicle': 8, 'harbor': 12, 'swimming-pool': 1}"
P0341.png,915,1160,51.86,98,"{'large-vehicle': 36, 'small-vehicle': 62}"
P0351.png,595,1102,54.46,32,"{'tennis-court': 2, 'basketball-court': 3, 'small-vehicle': 27}"
P0354.png,872,1188,66.29,120,"{'large-vehicle': 71, 'small-vehicle': 49}"
P0356.png,594,1101,40.91,4,"{'tennis-court': 2, 'basketball-court': 2}"
P0369.png,1195,623,81.56,12,"{'basketball-court': 2, 'tennis-court': 3, 'small-vehicle': 7}"
P0372.png,624,856,41.95,17,"{'tennis-court': 4, 'small-vehicle': 12, 'large-vehicle': 1}"
P0390.png,670,1118,48.07,77,"{'large-vehicle': 45, 'small-vehicle': 32}"
P0394.png,1981,623,93.36,17,"{'tennis-court': 4, 'basketball-court': 2, 'small-vehicle': 8, 'soccer-ball-field': 2, 'large-vehicle': 1}"
P0397.png,1082,1171,61.46,38,"{'tennis-court': 9, 'small-vehicle': 24, 'large-vehicle': 5}"
P0398.png,933,618,43.33,5,{'tennis-court': 5}
P0399.png,1038,1425,73.27,12,"{'tennis-court': 10, 'small-vehicle': 2}"
P0403.png,1398,1159,78.62,6,"{'harbor': 5, 'ship': 1}"
P0408.png,1360,1113,62.12,19,"{'harbor': 7, 'small-vehicle': 10, 'ship': 2}"
P0409.png,680,556,44.09,43,"{'ship': 27, 'harbor': 8, 'small-vehicle': 8}"
P0410.png,940,559,39.25,23,"{'harbor': 8, 'ship': 8, 'swimming-pool': 1, 'small-vehicle': 6}"
P0412.png,670,1118,46.36,55,"{'large-vehicle': 27, 'small-vehicle': 28}"
P0423.png,670,1118,43.29,26,"{'large-vehicle': 10, 'small-vehicle': 16}"
P0427.png,1361,1113,60.89,18,"{'harbor': 7, 'ship': 7, 'swimming-pool': 2, 'small-vehicle': 2}"
P0429.png,851,1086,51.39,13,"{'harbor': 8, 'ship': 3, 'small-vehicle': 1, 'swimming-pool': 1}"
P0433.png,606,1065,38.75,16,"{'harbor': 6, 'ship': 3, 'small-vehicle': 7}"
P0444.png,851,1087,44.29,25,"{'ship': 5, 'swimming-pool': 1, 'harbor': 10, 'small-vehicle': 9}"
P0447.png,941,558,31.38,14,"{'tennis-court': 5, 'small-vehicle': 7, 'large-vehicle': 2}"
P0449.png,920,855,45.17,6,{'tennis-court': 6}
P0451.png,920,1104,46.57,10,{'tennis-court': 10}
P0456.png,629,835,43.93,13,"{'tennis-court': 8, 'small-vehicle': 5}"
P0462.png,838,1112,47.48,7,"{'tennis-court': 6, 'basketball-court': 1}"
P0463.png,673,576,36.16,27,"{'tennis-court': 3, 'small-vehicle': 24}"
P0467.png,880,858,47.23,8,{'tennis-court': 8}
P0470.png,880,857,47.44,14,"{'tennis-court': 6, 'small-vehicle': 8}"
P0472.png,881,858,53.62,6,"{'tennis-court': 5, 'small-vehicle': 1}"
P0473.png,1403,883,51.45,17,{'plane': 17}
P0474.png,1608,1170,65.66,33,"{'plane': 20, 'small-vehicle': 12, 'large-vehicle': 1}"
P0480.png,1402,884,48.19,8,"{'tennis-court': 4, 'baseball-diamond': 1, 'small-vehicle': 2, 'basketball-court': 1}"
P0485.png,625,1080,36.0,8,"{'tennis-court': 7, 'small-vehicle': 1}"
P0490.png,661,835,38.49,6,{'tennis-court': 6}
P0492.png,2223,2017,103.52,22,"{'swimming-pool': 10, 'small-vehicle': 12}"
P0496.png,873,853,50.15,14,"{'tennis-court': 8, 'small-vehicle': 1, 'large-vehicle': 5}"
P0497.png,899,1407,46.63,90,"{'large-vehicle': 85, 'small-vehicle': 5}"
P0498.png,1746,1707,101.72,20,"{'swimming-pool': 9, 'small-vehicle': 11}"
P0500.png,1487,1684,79.91,23,"{'tennis-court': 5, 'baseball-diamond': 2, 'small-vehicle': 12, 'soccer-ball-field': 3, 'large-vehicle': 1}"
P0501.png,855,914,65.63,6,"{'basketball-court': 2, 'tennis-court': 2, 'baseball-diamond': 2}"
P0502.png,655,620,50.51,4,{'tennis-court': 4}
P0506.png,3125,2141,154.41,78,"{'tennis-court': 4, 'soccer-ball-field': 1, 'baseball-diamond': 1, 'swimming-pool': 26, 'small-vehicle': 45, 'large-vehicle': 1}"
P0507.png,943,904,59.21,156,"{'large-vehicle': 37, 'small-vehicle': 119}"
P0508.png,1428,1227,75.78,168,"{'large-vehicle': 72, 'small-vehicle': 96}"
P0509.png,1008,1458,56.72,10,"{'tennis-court': 4, 'baseball-diamond': 1, 'small-vehicle': 5}"
P0511.png,943,904,59.82,103,"{'large-vehicle': 45, 'small-vehicle': 57, 'ship': 1}"
P0513.png,850,912,51.73,16,"{'tennis-court': 7, 'small-vehicle': 7, 'large-vehicle': 1, 'soccer-ball-field': 1}"
P0514.png,652,618,39.32,23,"{'tennis-court': 4, 'small-vehicle': 19}"
P0515.png,819,885,44.88,8,"{'tennis-court': 4, 'small-vehicle': 3, 'storage-tank': 1}"
P0519.png,885,1115,45.66,5,"{'harbor': 3, 'ship': 1, 'small-vehicle': 1}"
P0523.png,1728,973,57.8,134,"{'large-vehicle': 45, 'small-vehicle': 89}"
P0528.png,670,1118,43.08,37,"{'large-vehicle': 22, 'small-vehicle': 15}"
P0529.png,1361,1117,59.1,12,"{'harbor': 8, 'ship': 4}"
P0530.png,850,1089,56.82,21,"{'harbor': 8, 'ship': 7, 'small-vehicle': 5, 'swimming-pool': 1}"
P0532.png,956,2358,162.1,16,"{'harbor': 5, 'ship': 4, 'small-vehicle': 7}"
P0534.png,1672,843,55.82,13,"{'ship': 3, 'small-vehicle': 2, 'harbor': 8}"
P0536.png,1881,1125,54.08,8,"{'swimming-pool': 1, 'harbor': 7}"
P0539.png,1934,838,48.25,12,"{'harbor': 5, 'ship': 6, 'small-vehicle': 1}"
P0540.png,1672,842,48.49,6,"{'harbor': 4, 'ship': 1, 'small-vehicle': 1}"
P0545.png,1485,1906,76.92,14,"{'harbor': 8, 'small-vehicle': 4, 'ship': 2}"
P0552.png,1359,1117,49.58,13,"{'ship': 2, 'harbor': 8, 'small-vehicle': 3}"
P0560.png,788,1587,40.73,9,"{'harbor': 7, 'swimming-pool': 2}"
P0561.png,1272,1633,63.92,16,"{'ship': 9, 'small-vehicle': 1, 'harbor': 6}"
P0566.png,1409,844,45.97,15,"{'harbor': 8, 'ship': 7}"
P0570.png,1416,2404,82.63,36,"{'harbor': 17, 'ship': 12, 'small-vehicle': 7}"
P0574.png,857,1367,45.66,14,"{'ship': 1, 'harbor': 12, 'small-vehicle': 1}"
P0575.png,638,1087,33.69,11,"{'ship': 1, 'harbor': 10}"
P0576.png,1221,598,44.86,9,"{'ship': 2, 'harbor': 7}"
P0584.png,882,1117,56.93,12,"{'ship': 5, 'harbor': 7}"
P0585.png,1387,1155,65.77,14,"{'harbor': 7, 'small-vehicle': 6, 'ship': 1}"
P0588.png,581,2082,117.97,10,"{'harbor': 7, 'small-vehicle': 3}"
P0592.png,1172,874,45.89,9,{'harbor': 9}
P0594.png,1172,874,45.35,5,"{'harbor': 4, 'small-vehicle': 1}"
P0598.png,1571,1698,94.49,5,{'harbor': 5}
P0599.png,834,1613,137.74,10,"{'harbor': 6, 'small-vehicle': 3, 'ship': 1}"
P0600.png,880,1114,54.02,8,"{'harbor': 5, 'ship': 2, 'small-vehicle': 1}"
P0606.png,1053,1892,64.5,7,"{'harbor': 5, 'ship': 2}"
P0608.png,1294,1923,80.81,17,"{'ship': 2, 'harbor': 11, 'small-vehicle': 4}"
P0616.png,1395,1158,68.3,12,"{'ship': 4, 'small-vehicle': 2, 'harbor': 6}"
P0621.png,1410,839,48.83,11,"{'harbor': 9, 'small-vehicle': 2}"
P0628.png,1359,1112,60.38,282,"{'harbor': 15, 'ship': 190, 'small-vehicle': 77}"
P0633.png,1620,1119,81.49,27,"{'harbor': 11, 'ship': 11, 'small-vehicle': 5}"
P0635.png,1360,1114,83.04,26,"{'ship': 12, 'harbor': 9, 'small-vehicle': 4, 'swimming-pool': 1}"
P0636.png,1410,841,58.43,25,"{'ship': 8, 'harbor': 10, 'small-vehicle': 7}"
P0639.png,902,864,65.8,11,{'tennis-court': 11}
P0640.png,864,1119,59.59,13,"{'basketball-court': 2, 'tennis-court': 11}"
P0644.png,901,864,56.84,9,"{'tennis-court': 8, 'small-vehicle': 1}"
P0645.png,901,864,63.86,62,"{'tennis-court': 6, 'small-vehicle': 56}"
P0655.png,1421,1318,69.53,48,"{'large-vehicle': 23, 'small-vehicle': 25}"
P0657.png,949,595,39.96,6,"{'tennis-court': 4, 'basketball-court': 2}"
P0661.png,646,840,40.89,34,"{'tennis-court': 8, 'small-vehicle': 26}"
P0662.png,901,864,49.88,8,{'tennis-court': 8}
P0663.png,1685,897,50.65,25,"{'tennis-court': 12, 'baseball-diamond': 1, 'small-vehicle': 12}"
P0667.png,862,1119,43.09,10,"{'basketball-court': 6, 'tennis-court': 3, 'baseball-diamond': 1}"
P0669.png,1847,1465,68.18,22,"{'tennis-court': 7, 'baseball-diamond': 2, 'small-vehicle': 13}"
P0670.png,1160,881,44.51,18,"{'tennis-court': 12, 'small-vehicle': 6}"
P0671.png,1161,882,41.38,11,"{'tennis-court': 4, 'basketball-court': 4, 'baseball-diamond': 1, 'small-vehicle': 2}"
P0672.png,390,1056,85.26,6,{'tennis-court': 6}
P0674.png,686,582,36.71,4,{'basketball-court': 4}
P0675.png,1114,1146,58.21,7,"{'tennis-court': 6, 'baseball-diamond': 1}"
P0678.png,2678,1381,86.39,300,"{'harbor': 9, 'ship': 288, 'swimming-pool': 1, 'small-vehicle': 2}"
P0679.png,1305,2119,67.98,300,"{'ship': 10, 'small-vehicle': 290}"
P0680.png,2088,1911,94.77,300,"{'ship': 22, 'small-vehicle': 270, 'harbor': 3, 'storage-tank': 5}"
P0681.png,2508,2708,154.75,300,"{'ship': 4, 'small-vehicle': 295, 'harbor': 1}"
P0682.png,1577,1885,86.3,300,"{'roundabout': 1, 'ship': 11, 'small-vehicle': 288}"
P0686.png,1156,1089,53.85,29,"{'tennis-court': 8, 'small-vehicle': 21}"
P0690.png,898,1077,49.75,12,"{'tennis-court': 8, 'small-vehicle': 4}"
P0694.png,1151,1091,56.37,19,"{'tennis-court': 11, 'small-vehicle': 7, 'swimming-pool': 1}"
P0698.png,838,1332,43.59,11,"{'plane': 10, 'small-vehicle': 1}"
P0701.png,3097,2013,137.7,300,"{'ship': 257, 'small-vehicle': 40, 'harbor': 3}"
P0705.png,2398,1445,79.17,300,"{'ship': 246, 'small-vehicle': 52, 'swimming-pool': 1, 'harbor': 1}"
P0708.png,1140,1347,52.59,245,"{'ship': 175, 'harbor': 8, 'small-vehicle': 62}"
P0709.png,1686,1105,46.93,202,"{'ship': 165, 'harbor': 12, 'small-vehicle': 25}"
P0710.png,1140,1347,52.15,294,"{'harbor': 8, 'ship': 171, 'small-vehicle': 114, 'roundabout': 1}"
P0717.png,859,1326,44.67,66,"{'ship': 32, 'harbor': 23, 'small-vehicle': 10, 'swimming-pool': 1}"
P0718.png,1658,1098,51.51,85,"{'ship': 48, 'harbor': 21, 'small-vehicle': 15, 'swimming-pool': 1}"
P0720.png,1919,1098,52.95,73,"{'harbor': 22, 'ship': 37, 'small-vehicle': 14}"
P0721.png,1439,824,37.55,38,"{'harbor': 11, 'ship': 19, 'small-vehicle': 7, 'swimming-pool': 1}"
P0735.png,1919,1098,51.6,92,"{'harbor': 25, 'ship': 32, 'small-vehicle': 33, 'large-vehicle': 1, 'swimming-pool': 1}"
P0736.png,1659,1098,51.3,87,"{'harbor': 25, 'ship': 40, 'small-vehicle': 22}"
P0739.png,1398,1094,57.6,92,"{'ship': 42, 'small-vehicle': 31, 'harbor': 19}"
P0740.png,1141,1086,53.28,58,"{'ship': 37, 'harbor': 13, 'small-vehicle': 7, 'swimming-pool': 1}"
P0741.png,1619,1364,66.55,96,"{'ship': 56, 'harbor': 23, 'swimming-pool': 1, 'small-vehicle': 16}"
P0742.png,1659,1097,52.38,94,"{'ship': 53, 'small-vehicle': 13, 'harbor': 27, 'swimming-pool': 1}"
P0747.png,819,1826,50.41,35,"{'harbor': 16, 'ship': 11, 'small-vehicle': 7, 'swimming-pool': 1}"
P0748.png,1659,1097,58.52,89,"{'ship': 64, 'harbor': 21, 'small-vehicle': 4}"
P0751.png,1700,821,53.52,76,"{'harbor': 19, 'ship': 47, 'small-vehicle': 10}"
P0752.png,1700,821,52.18,112,"{'harbor': 14, 'ship': 73, 'small-vehicle': 25}"
P0756.png,1140,1086,57.78,134,"{'ship': 94, 'small-vehicle': 32, 'harbor': 8}"
P0758.png,2139,1373,89.23,107,"{'ship': 37, 'harbor': 30, 'small-vehicle': 33, 'swimming-pool': 7}"
P0765.png,1140,1085,73.0,112,"{'ship': 53, 'small-vehicle': 27, 'harbor': 32}"
P0767.png,885,1073,54.51,93,"{'harbor': 28, 'ship': 34, 'small-vehicle': 31}"
P0771.png,850,1322,45.87,53,"{'tennis-court': 8, 'small-vehicle': 45}"
P0772.png,1098,1338,68.06,21,"{'tennis-court': 6, 'baseball-diamond': 2, 'small-vehicle': 11, 'swimming-pool': 2}"
P0773.png,1609,1358,69.14,42,"{'tennis-court': 6, 'baseball-diamond': 2, 'swimming-pool': 1, 'small-vehicle': 31, 'ground-track-field': 1, 'soccer-ball-field': 1}"
P0774.png,1098,1338,62.17,37,"{'tennis-court': 6, 'baseball-diamond': 1, 'small-vehicle': 30}"
P0776.png,1200,934,50.56,34,"{'large-vehicle': 33, 'small-vehicle': 1}"
P0784.png,4168,1614,209.9,73,"{'plane': 37, 'small-vehicle': 32, 'large-vehicle': 3, 'storage-tank': 1}"
P0788.png,2431,1083,76.36,300,"{'harbor': 11, 'ship': 281, 'swimming-pool': 4, 'small-vehicle': 4}"
P0793.png,870,1599,57.91,17,"{'tennis-court': 8, 'small-vehicle': 7, 'swimming-pool': 1, 'baseball-diamond': 1}"
P0797.png,1051,2367,72.79,207,"{'harbor': 7, 'ship': 191, 'small-vehicle': 9}"
P0798.png,1102,1618,65.47,300,"{'harbor': 8, 'ship': 225, 'small-vehicle': 67}"
P0802.png,1227,570,41.77,12,"{'tennis-court': 6, 'basketball-court': 2, 'small-vehicle': 4}"
P0807.png,1253,2634,84.45,126,"{'plane': 19, 'large-vehicle': 5, 'small-vehicle': 102}"
P0808.png,1224,563,32.63,7,"{'tennis-court': 6, 'small-vehicle': 1}"
P0811.png,2228,845,50.5,28,"{'tennis-court': 14, 'small-vehicle': 14}"
P0812.png,1817,1924,125.66,300,"{'harbor': 3, 'ship': 297}"
P0813.png,645,1067,44.41,10,"{'tennis-court': 6, 'small-vehicle': 4}"
P0820.png,1179,866,63.35,82,"{'tennis-court': 6, 'small-vehicle': 75, 'baseball-diamond': 1}"
P0824.png,1137,1133,85.65,27,"{'tennis-court': 12, 'small-vehicle': 15}"
P0830.png,2168,1168,71.52,300,"{'harbor': 8, 'ship': 289, 'small-vehicle': 3}"
P0834.png,1475,586,41.81,24,"{'tennis-court': 6, 'basketball-court': 2, 'small-vehicle': 16}"
P0836.png,2809,2030,128.56,300,"{'harbor': 7, 'ship': 211, 'small-vehicle': 82}"
P0842.png,2551,2017,109.46,41,"{'plane': 14, 'small-vehicle': 21, 'large-vehicle': 6}"
P0847.png,911,854,52.51,57,"{'tennis-court': 7, 'small-vehicle': 50}"
P0852.png,1197,1010,53.79,20,"{'large-vehicle': 14, 'small-vehicle': 6}"
P0854.png,847,1362,46.98,9,{'tennis-court': 9}
P0859.png,1451,2693,95.0,300,"{'harbor': 8, 'ship': 232, 'small-vehicle': 60}"
P0862.png,653,833,33.41,10,"{'tennis-court': 6, 'small-vehicle': 4}"
P0863.png,2765,2304,124.5,300,"{'harbor': 12, 'ship': 285, 'small-vehicle': 3}"
